排名,名称,链接,星级,评分,评价人数
205,城市之光,https://movie.douban.com/subject/1293908/,4.5,9.3,150581
206,源代码,https://movie.douban.com/subject/3075287/,4.5,8.5,848215
207,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,4.5,8.6,557781
208,雨人,https://movie.douban.com/subject/1291870/,4.5,8.7,410166
209,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,4.5,8.6,617422
210,初恋这件小事,https://movie.douban.com/subject/4739952/,4.5,8.5,990819
211,恋恋笔记本,https://movie.douban.com/subject/1309163/,4.5,8.5,682938
212,青蛇,https://movie.douban.com/subject/1303394/,4.5,8.6,536772
213,人工智能,https://movie.douban.com/subject/1302827/,4.5,8.7,454889
214,末路狂花,https://movie.douban.com/subject/1291992/,4.5,8.9,267361
215,虎口脱险,https://movie.douban.com/subject/1296909/,4.5,8.9,262760
216,终结者2：审判日,https://movie.douban.com/subject/1291844/,4.5,8.8,347648
217,疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,4.5,8.7,540525
218,罗生门,https://movie.douban.com/subject/1291879/,4.5,8.8,321172
219,新龙门客栈,https://movie.douban.com/subject/1292287/,4.5,8.7,453397
220,无耻混蛋,https://movie.douban.com/subject/1438652/,4.5,8.7,488978
221,千钧一发,https://movie.douban.com/subject/1300117/,4.5,8.8,306677
222,崖上的波妞,https://movie.douban.com/subject/1959877/,4.5,8.6,509108
223,芙蓉镇,https://movie.douban.com/subject/1297880/,4.5,9.3,146506
224,萤火虫之墓,https://movie.douban.com/subject/1293318/,4.5,8.7,409628
225,花束般的恋爱,https://movie.douban.com/subject/34874432/,4.5,8.6,650322
226,彗星来的那一夜,https://movie.douban.com/subject/25807345/,4.5,8.6,595088
227,爱乐之城,https://movie.douban.com/subject/25934014/,4,8.4,919605
228,奇迹男孩,https://movie.douban.com/subject/26787574/,4.5,8.6,559080
229,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,4.5,8.7,413319
230,二十二,https://movie.douban.com/subject/26430107/,4.5,8.7,295466
231,哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,4.5,8.5,591713
232,血钻,https://movie.douban.com/subject/1428175/,4.5,8.7,386777
233,战争之王,https://movie.douban.com/subject/1419936/,4.5,8.7,375763
234,火星救援,https://movie.douban.com/subject/25864085/,4.5,8.5,744490
235,步履不停,https://movie.douban.com/subject/2222996/,4.5,8.8,284988
236,房间,https://movie.douban.com/subject/25724855/,4.5,8.8,372652
237,魂断蓝桥,https://movie.douban.com/subject/1293964/,4.5,8.8,283647
238,千年女优,https://movie.douban.com/subject/1307394/,4.5,8.8,275374
239,谍影重重2,https://movie.douban.com/subject/1308767/,4.5,8.7,359813
240,白日梦想家,https://movie.douban.com/subject/2133323/,4.5,8.6,502490
241,哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,4.5,8.5,586299
242,弱点,https://movie.douban.com/subject/3552028/,4.5,8.7,316621
243,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,4.5,8.6,680602
244,高山下的花环,https://movie.douban.com/subject/1422283/,5,9.5,93855
245,谍影重重,https://movie.douban.com/subject/1304102/,4.5,8.6,436266
246,阿飞正传,https://movie.douban.com/subject/1305690/,4.5,8.5,519669
247,朗读者,https://movie.douban.com/subject/2213597/,4.5,8.6,459130
248,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,4.5,8.6,434086
249,燃情岁月,https://movie.douban.com/subject/1295865/,4.5,8.7,291822
250,大红灯笼高高挂,https://movie.douban.com/subject/1293323/,4.5,8.8,283506
排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2958344
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,2185649
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,2204641
4,泰坦尼克号,https://movie.douban.com/subject/1292722/,5,9.5,2239337
5,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,2336357
6,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,2288103
7,美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,1351542
8,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.4,1895870
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.4,2108114
10,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,1141650
11,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.4,1757150
12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1421504
13,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1708510
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1892963
15,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1338683
16,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1342484
17,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1987985
18,无间道,https://movie.douban.com/subject/1307914/,4.5,9.3,1395947
19,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,583910
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1562080
21,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.4,949013
22,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,989362
23,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.3,1144938
24,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.2,1548187
25,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1726659
26,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,908718
27,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,1290368
28,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1868919
29,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,866706
30,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,4.5,9.2,1224306
31,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,1084368
32,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,4.5,9.3,820738
33,我不是药神,https://movie.douban.com/subject/26752088/,4.5,9.0,2145756
34,乱世佳人,https://movie.douban.com/subject/1300267/,4.5,9.3,706308
35,飞屋环游记,https://movie.douban.com/subject/2129039/,4.5,9.1,1354402
36,素媛,https://movie.douban.com/subject/21937452/,4.5,9.3,701791
37,十二怒汉,https://movie.douban.com/subject/1293182/,4.5,9.4,504460
38,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,4.5,9.1,1050304
39,何以为家,https://movie.douban.com/subject/30170448/,4.5,9.1,1065603
40,让子弹飞,https://movie.douban.com/subject/3742360/,4.5,9.0,1734632
41,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,4.5,9.0,1597577
42,猫鼠游戏,https://movie.douban.com/subject/1305487/,4.5,9.1,1055494
43,天空之城,https://movie.douban.com/subject/1291583/,4.5,9.2,897072
44,鬼子来了,https://movie.douban.com/subject/1291858/,4.5,9.3,640437
45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,4.5,9.1,1372710
46,海蒂和爷爷,https://movie.douban.com/subject/25958717/,4.5,9.3,640656
47,钢琴家,https://movie.douban.com/subject/1296736/,4.5,9.3,658512
48,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,4.5,9.0,1243697
49,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,4.5,9.2,770162
50,闻香识女人,https://movie.douban.com/subject/1298624/,4.5,9.1,908692
51,死亡诗社,https://movie.douban.com/subject/1291548/,4.5,9.2,748243
52,绿皮书,https://movie.douban.com/subject/27060077/,4.5,8.9,1687219
53,罗马假日,https://movie.douban.com/subject/1293839/,4.5,9.1,966610
54,大闹天宫,https://movie.douban.com/subject/1418019/,4.5,9.4,449456
55,天堂电影院,https://movie.douban.com/subject/1291828/,4.5,9.2,689547
56,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,4.5,9.1,865277
57,黑客帝国,https://movie.douban.com/subject/1291843/,4.5,9.1,854436
58,教父2,https://movie.douban.com/subject/1299131/,4.5,9.3,565972
59,狮子王,https://movie.douban.com/subject/1301753/,4.5,9.1,862344
60,辩护人,https://movie.douban.com/subject/21937445/,4.5,9.2,599239
61,饮食男女,https://movie.douban.com/subject/1291818/,4.5,9.2,635626
62,搏击俱乐部,https://movie.douban.com/subject/1292000/,4.5,9.0,864283
63,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,4.5,9.0,1003968
64,美丽心灵,https://movie.douban.com/subject/1306029/,4.5,9.1,783895
65,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,4.5,9.2,579291
66,窃听风暴,https://movie.douban.com/subject/1900841/,4.5,9.2,575789
67,情书,https://movie.douban.com/subject/1292220/,4.5,8.9,1141355
68,两杆大烟枪,https://movie.douban.com/subject/1293350/,4.5,9.1,606249
69,西西里的美丽传说,https://movie.douban.com/subject/1292402/,4.5,8.9,994808
70,看不见的客人,https://movie.douban.com/subject/26580232/,4.5,8.8,1298998
71,音乐之声,https://movie.douban.com/subject/1294408/,4.5,9.1,615501
72,阿凡达,https://movie.douban.com/subject/1652587/,4.5,8.8,1447489
73,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,4.5,9.0,852263
74,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,4.5,9.1,659924
75,飞越疯人院,https://movie.douban.com/subject/1292224/,4.5,9.1,556510
76,小鞋子,https://movie.douban.com/subject/1303021/,4.5,9.2,419608
77,沉默的羔羊,https://movie.douban.com/subject/1293544/,4.5,8.9,910073
78,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,4.5,8.9,962375
