排名,名称,链接,星级,评分,评价人数
82,致命魔术,https://movie.douban.com/subject/1780330/,4.5,8.9,877557
83,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.9,751567
84,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,729359
85,超脱,https://movie.douban.com/subject/5322596/,4.5,9.0,619876
86,低俗小说,https://movie.douban.com/subject/1291832/,4.5,8.9,851675
87,海豚湾,https://movie.douban.com/subject/3442220/,4.5,9.3,361463
88,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,308230
89,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,9.0,644027
90,美国往事,https://movie.douban.com/subject/1292262/,4.5,9.2,420075
91,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,988199
92,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.9,843664
93,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,732543
94,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,958846
95,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.1,479280
96,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,875870
97,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.9,778707
98,一一,https://movie.douban.com/subject/1292434/,4.5,9.1,406444
99,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,401623
100,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.7,1101463
101,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,567696
102,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,714291
103,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,4.5,8.9,737140
104,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.8,736791
105,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,699805
106,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,717398
107,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,1049118
108,入殓师,https://movie.douban.com/subject/2149806/,4.5,8.9,679815
109,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,567332
110,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.8,827334
111,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,565484
112,超能陆战队,https://movie.douban.com/subject/11026735/,4.5,8.7,1034946
113,甜蜜蜜,https://movie.douban.com/subject/1305164/,4.5,8.9,570629
114,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,533972
115,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,4.5,8.9,575077
116,菊次郎的夏天,https://movie.douban.com/subject/1293359/,4.5,8.9,607315
117,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,4.5,8.9,564937
118,消失的爱人,https://movie.douban.com/subject/21318488/,4.5,8.7,974423
119,寄生虫,https://movie.douban.com/subject/27010768/,4.5,8.8,1395697
120,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,4.5,8.8,625259
121,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,964254
122,完美的世界,https://movie.douban.com/subject/1300992/,4.5,9.1,321788
123,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,4.5,9.0,432867
124,倩女幽魂,https://movie.douban.com/subject/1297447/,4.5,8.8,750813
125,无人知晓,https://movie.douban.com/subject/1292337/,4.5,9.1,325883
126,时空恋旅人,https://movie.douban.com/subject/10577869/,4.5,8.8,690975
127,侧耳倾听,https://movie.douban.com/subject/1297052/,4.5,8.9,471897
128,未麻的部屋,https://movie.douban.com/subject/1395091/,4.5,9.1,347231
129,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,4.5,8.8,679555
130,幸福终点站,https://movie.douban.com/subject/1292274/,4.5,8.8,582533
131,驯龙高手,https://movie.douban.com/subject/2353023/,4.5,8.8,770216
132,小森林 冬春篇,https://movie.douban.com/subject/25814707/,4.5,9.0,385426
133,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,4.5,8.9,495797
134,教父3,https://movie.douban.com/subject/1294240/,4.5,9.0,382798
135,怪兽电力公司,https://movie.douban.com/subject/1291579/,4.5,8.8,688106
136,玩具总动员3,https://movie.douban.com/subject/1858711/,4.5,8.9,529400
137,傲慢与偏见,https://movie.douban.com/subject/1418200/,4.5,8.7,818735
138,萤火之森,https://movie.douban.com/subject/5989818/,4.5,8.9,550706
139,新世界,https://movie.douban.com/subject/10437779/,4.5,8.9,450304
140,釜山行,https://movie.douban.com/subject/25986180/,4.5,8.6,1221428
141,被解救的姜戈,https://movie.douban.com/subject/6307447/,4.5,8.8,620906
142,神偷奶爸,https://movie.douban.com/subject/3287562/,4.5,8.7,962559
143,茶馆,https://movie.douban.com/subject/1461403/,5,9.6,155346
144,告白,https://movie.douban.com/subject/4268598/,4.5,8.8,681721
145,玛丽和马克思,https://movie.douban.com/subject/3072124/,4.5,9.0,426389
146,哪吒闹海,https://movie.douban.com/subject/1307315/,4.5,9.2,265416
147,大鱼,https://movie.douban.com/subject/1291545/,4.5,8.8,577340
148,色，戒,https://movie.douban.com/subject/1828115/,4.5,8.7,832054
149,九品芝麻官,https://movie.douban.com/subject/1297518/,4.5,8.7,697126
150,喜宴,https://movie.douban.com/subject/1303037/,4.5,9.0,372244
151,模仿游戏,https://movie.douban.com/subject/10463953/,4.5,8.8,659496
152,头号玩家,https://movie.douban.com/subject/4920389/,4.5,8.7,1390356
153,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,4.5,8.7,649213
154,花样年华,https://movie.douban.com/subject/1291557/,4.5,8.8,622323
155,我是山姆,https://movie.douban.com/subject/1306861/,4.5,9.0,344368
156,头脑特工队,https://movie.douban.com/subject/10533913/,4.5,8.8,629779
157,阳光姐妹淘,https://movie.douban.com/subject/4917726/,4.5,8.8,597229
158,七武士,https://movie.douban.com/subject/1295399/,4.5,9.3,202689
159,血战钢锯岭,https://movie.douban.com/subject/26325320/,4.5,8.7,794289
160,恐怖直播,https://movie.douban.com/subject/21360417/,4.5,8.7,663702
161,惊魂记,https://movie.douban.com/subject/1293181/,4.5,9.0,303900
162,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,4.5,8.8,454465
163,你的名字。,https://movie.douban.com/subject/26683290/,4.5,8.5,1433752
164,电锯惊魂,https://movie.douban.com/subject/1417598/,4.5,8.7,546491
165,三块广告牌,https://movie.douban.com/subject/26611804/,4.5,8.7,833920
